Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
229,6,Q,K2,AQ43,KQJ653,65,J98753,KJ2,A4,J983,A6,T98,T987,AKT742,QT4,765,2
230,10,KQJ943,A64,-,AQJ9,T5,T9852,AJT4,K5,872,K73,9532,843,A6,QJ,KQ876,T762
231,2,K82,T65,T863,732,Q94,KQ97,J972,QT,J5,J83,AKQ54,K64,AT763,A42,-,AJ985
232,5,K62,AQ964,T96,T9,T97,J8,Q852,KJ87,J5,K75,AK3,Q6543,AQ843,T32,J74,A2
233,11,KJ43,AT4,AT9,KQ7,Q92,QJ763,K875,J,T86,K98,J2,AT852,A75,52,Q643,9643
234,4,4,QT87,KJ764,K64,KQ9653,J642,AQ5,-,JT872,K3,T3,T873,A,A95,982,AQJ952
235,8,QJ73,J5,K93,AQJT,82,QT83,AJ65,932,AK64,942,QT4,K76,T95,AK76,872,854
236,3,Q64,T53,K93,JT95,AK952,42,T87,764,JT83,AQ9876,AQJ,-,7,KJ,6542,AKQ832
237,4,975,AQ9,A2,96432,QJT32,K86,Q64,87,AK,J7542,K853,T5,864,T3,JT97,AKQJ
238,6,A973,KT82,T6,A52,KJ642,J4,87,QJ93,T5,Q973,943,T864,Q8,A65,AKQJ52,K7
239,8,KJ,AKT942,A5,983,T43,7,KT8763,AT4,Q82,Q85,QJ42,K65,A9765,J63,9,QJ72
240,7,J96,J96,A6542,J9,AT742,AKT54,3,87,85,Q,KJT98,AK654,KQ3,8732,Q7,QT32
241,5,J97,KJ83,652,AQ4,AT852,T5,KJ8,J52,-,A7642,AQT93,T98,KQ643,Q9,74,K763
242,7,J,A863,A9654,AJ2,K976,QJ,83,QT985,AT,K954,KQJ2,743,Q85432,T72,T7,K6
243,6,A9875,A5,Q53,Q84,J64,742,J92,AJ63,-,QJT98,A8764,972,KQT32,K63,KT,KT5
244,4,T93,KT962,8,9765,AJ4,8,AQ962,T432,KQ72,AQ53,T5,AJ8,865,J74,KJ743,KQ
245,8,A962,73,KJ83,KQ6,T,QJ9,AT9765,J95,J8753,T65,4,A732,KQ4,AK842,Q2,T84
246,5,QJT87,K8,KQJ,T65,6432,J953,T7,KJ4,AK95,T72,A964,82,-,AQ64,8532,AQ973
247,7,973,AT4,J87,QT83,AJT,K85,932,AJ62,KQ64,6,AKT65,975,852,QJ9732,Q4,K4
248,7,AT8,T9,KQ984,842,K76532,AKJ63,-,QT,J,72,AJT7652,K97,Q94,Q854,3,AJ653
249,7,KJ,J872,J9,AJ975,Q543,K3,KQ,KQT86,AT9,QT65,A8652,3,8762,A94,T743,42
250,8,J74,765,AQ,K9753,AKQT3,982,7543,2,985,AT3,KJT92,A4,62,KQJ4,86,QJT86
251,7,A96,T53,A62,Q853,T,KQ8762,J73,AT9,Q72,A94,KQ4,K742,KJ8543,J,T985,J6
252,3,Q8,AJ872,K96,K65,A9652,T9,842,T84,KJT73,Q53,Q3,A93,4,K64,AJT75,QJ72
253,8,AJ9743,2,4,AT873,Q2,J65,AJ875,QJ6,K5,KQ987,T96,K54,T86,AT43,KQ32,92
254,9,AQJT8,73,K952,A5,65,J985,AJ743,K7,7432,KQ62,T8,Q84,K9,AT4,Q6,JT9632
255,6,KQJT7,74,KT4,T75,A4,KJ63,86532,A4,53,AT982,9,KJ986,9862,Q5,AQJ7,Q32
256,3,86,KQ974,6,97642,AQ,JT,JT843,AJ83,KJT542,652,Q72,Q,973,A83,AK95,KT5
257,8,J98752,KQ93,Q,A6,K3,A,A98654,QT73,AQ64,JT76,7,K982,T,8542,KJT32,J54
258,8,KT7643,K,AKQJ,K9,AQ5,AJT76,T987,8,J8,942,432,QJT72,92,Q853,65,A6543
259,4,T6,KQJ2,K852,Q43,J2,8653,AQ9,K976,AKQ8743,T,J,JT85,95,A974,T7643,A2
260,5,52,QT4,AKT2,QT65,T4,AJ9753,86,J73,AQJ983,K,7543,K2,K76,862,QJ9,A984
261,10,K2,KQ43,Q,AKT632,AT94,J7,A975,J94,Q863,652,KJ63,Q5,J75,AT98,T842,87
262,7,97,AK32,7643,AK9,5,JT9,AJ985,T874,AJ842,Q75,T2,QJ6,KQT63,864,KQ,532
263,0,KQT75,JT2,JT,T82,6432,8654,932,93,AJ8,AQ97,875,KJ4,9,K3,AKQ64,AQ765
264,5,94,87,K8632,Q652,AT62,J95,AJT7,93,KJ5,Q64,95,KT874,Q873,AKT32,Q4,AJ
265,7,Q8,J82,AKT73,AT9,54,AT964,-,KJ7643,KT9632,5,Q9642,8,AJ7,KQ73,J85,Q52
266,1,J63,QT7,A754,976,42,63,J2,AKQ8543,7,A9854,KT96,JT2,AKQT985,KJ2,Q83,-
267,3,QT865,96,AKT53,J,9732,743,-,A76543,AJ4,AK8,J86,KQT8,K,QJT52,Q9742,92
268,8,AQT7,K532,AQ,965,K932,98,75,K8732,654,AT74,KJ94,JT,J8,QJ6,T8632,AQ4
269,9,AJT63,53,QJ5,Q74,K7,AKJ2,832,KJ95,Q984,9874,A97,T6,52,QT6,KT64,A832
270,5,-,9762,AJ93,J8743,843,QT3,KT8,AKQ5,KJ765,AJ4,654,T6,AQT92,K85,Q72,92
271,1,KT9,K64,J3,J8742,Q532,9832,Q7,Q63,86,QJT75,T9542,9,AJ74,A,AK86,AKT5
272,12,T43,AK73,KT9,AQ3,AK62,T64,AQJ5,K4,J85,98,87632,J52,Q97,QJ52,4,T9876
273,8,75,T63,A65,AQJT8,AK94,QJ97,JT2,42,T82,A,K98743,763,QJ63,K8542,Q,K95
274,9,J83,AKJ,T9653,AJ,K952,T4,AQJ82,T8,AQ76,Q9863,4,KQ3,T4,752,K7,976542
275,6,AK76,42,K2,JT763,QJ32,KQJ5,T4,AKQ,T854,T8,975,8542,9,A9763,AQJ863,9
276,4,AQ75,QJT63,QJ3,K,T96,954,T62,Q953,43,K87,A975,AT84,KJ82,A2,K84,J762
277,11,QJ,KQJT9852,-,K32,K853,A6,K42,AJ96,AT74,743,98763,T,962,-,AQJT5,Q8754
278,5,AQJ6,-,T832,T9765,42,J8743,AKQ7,43,T953,KT92,964,Q8,K87,AQ65,J5,AKJ2
279,6,Q7,8532,KQ64,J76,63,AJ7,J32,AKQ82,AKJ984,Q964,87,9,T52,KT,AT95,T543
280,5,AQ965,96,T64,A93,8,KJT873,953,Q75,KJT43,Q52,872,K8,72,A4,AKQJ,JT642
281,5,73,AT76,8753,Q42,AJT8542,KQ8,J,85,KQ,43,AKT96,AK97,96,J952,Q42,JT63
282,5,52,94,AT42,K8532,T9,QJ7,QJ93,QJ76,KQ87,AT852,K85,A,AJ643,K63,76,T94
283,7,T64,K2,KJ865,A97,53,AT75,A7,KQ842,KQJ987,Q3,Q,T653,A2,J9864,T9432,J
284,5,KQJT,QT52,6,K865,953,86,KJT987,73,642,KJ93,52,QJT9,A87,A74,AQ43,A42
285,4,J74,AKQ4,JT86,QJ,963,T9852,Q3,T54,Q5,J6,A9742,A963,AKT82,73,K5,K872
286,9,QT98,KQT97,T9,54,AK5,3,AK53,K9632,742,AJ64,QJ872,A,J63,852,64,QJT87
287,7,AKJ987543,8,JT,5,QT6,T6,K86,AT983,-,AQ753,942,QJ742,2,KJ942,AQ753,K6
288,9,KT64,Q3,Q42,QJ84,7,AJ42,AK87,A732,A953,KT9765,9,K9,QJ82,8,JT653,T65
289,4,A976543,K9,-,AQT4,82,643,K98762,J9,KT,Q82,QJT3,8653,QJ,AJT75,A54,K72
290,7,72,J532,KQT5,J82,965,AK,A72,AQ763,KQJ83,Q8764,3,T4,AT4,T9,J9864,K95
291,6,JT864,J5,Q,K9743,A93,QT8,T97,AJT5,752,973,AKJ6,Q62,KQ,AK642,85432,8
292,5,53,JT53,98,K7653,QT7,962,KT72,AQT,A862,Q87,QJ643,2,KJ94,AK4,A5,J984
293,8,Q92,KQJ,J9854,T5,J86,A763,K,AQJ72,T75,82,A763,9843,AK43,T954,QT2,K6
294,3,Q64,95,AK85,KJ62,K52,T,T7432,T743,AJ,AQJ6432,6,985,T9873,K87,QJ9,AQ
295,7,AJ5,AK,AT863,J83,92,J8753,QJ,KQT4,K63,T4,974,A9752,QT874,Q962,K52,6
296,5,J6,Q9,KQJ5,Q7532,842,AK8765,T943,-,953,T42,7,AKJ864,AKQT7,J3,A862,T9
297,8,953,JT8,Q96,K954,KQ4,K54,AK7,QJ87,AT86,Q97,J852,32,J72,A632,T43,AT6
298,10,K62,KJ98632,3,54,AT4,A5,AQT2,J987,Q9,74,KJ98765,A2,J8753,QT,4,KQT63
299,7,J72,AKT63,KT97,Q,AT84,J9874,4,A98,K93,Q52,6,KJT742,Q65,-,AQJ8532,653
300,2,J,QT97654,J62,J3,Q9872,82,KT873,A,T6,A,AQ54,KQT754,AK543,KJ3,9,9862
301,9,2,AT3,KJ743,AQ82,QJ643,K65,AT5,73,AK875,Q72,Q,KT95,T9,J984,9862,J64
302,8,AQJ9,J7532,A9,62,52,A6,K6543,QJT3,K8,QT98,QJT82,K5,T7643,K4,7,A9874
303,3,42,KQJ82,-,T98754,AQ875,975,96,AK2,KT9,6,AKT87432,J,J63,AT43,QJ5,Q63
304,7,KQ85,AJ5,KQ63,T7,T74,KT742,A85,J2,AJ,Q8,JT72,AK963,9632,963,94,Q854
305,4,-,KJT53,K732,Q632,AJT52,87,84,K754,K964,A42,QJ5,AT9,Q873,Q96,AT96,J8
306,3,-,4,AKT96543,Q643,AJT98653,J62,-,J9,72,K9873,Q82,K72,KQ4,AQT5,J7,AT85
307,1,3,AKQ96,T87,K952,T4,T7532,Q9532,6,KQ75,8,AJ4,QT743,AJ9862,J4,K6,AJ8
308,9,AQJ7643,Q,A8,T83,52,K64,QT642,K65,K8,AT92,K973,742,T9,J8753,J5,AQJ9
309,7,A932,QJ4,K,K9532,KQT654,K5,J43,Q6,J87,9872,76,AJT7,-,AT63,AQT9852,84
310,7,AQ65432,3,T82,A5,87,AT52,KJ,QJT98,JT9,Q9864,75,732,K,KJ7,AQ9643,K64
311,6,AKT742,J,QT973,8,Q85,AT65,AJ4,T75,J93,Q93,-,AQJ9642,6,K8742,K8652,K3
312,5,J52,95,J54,QJT97,AK64,J63,K82,A32,T73,Q872,AQT3,86,Q98,AKT4,976,K54
313,6,Q9632,A92,AJ,K95,KT,854,T84,A7643,A7,KT76,Q965,QT2,J854,QJ3,K732,J8
314,9,T5,A962,96,AT843,962,KQ,AJT,KQ765,QJ87,J874,KQ52,9,AK43,T53,8743,J2
315,10,AJT85,4,AKQ2,987,6,AKQJ83,T976,65,Q,T952,853,JT432,K97432,76,J4,AKQ
316,4,975,AQ9,A2,96432,QJT32,K86,Q64,87,AK,J7542,K853,T5,864,T3,JT97,AKQJ
317,5,982,Q97,Q72,K964,Q7,AKJ,AJ9853,J2,A54,T854,K64,Q75,KJT63,632,T,AT83
318,9,A76,J93,432,KJT8,K432,K7,AKJT76,7,QJT,A854,98,A652,985,QT62,Q5,Q943
319,5,76,AQJ98,A74,AT4,A85432,3,Q85,975,QJT9,76,KJ6,QJ86,K,KT542,T932,K32
320,8,AQ75,J654,-,AT653,KJ2,K982,A74,J98,864,7,KQT9652,Q7,T93,AQT3,J83,K42
321,8,QT762,K74,KQ,A94,A93,963,AT9,KQJ8,K8,J82,8752,T762,J54,AQT5,J643,53
322,8,KJ2,A97,AJ42,K82,T5,K53,KT983,J65,A9876,Q86,5,QT94,Q43,JT42,Q76,A73
323,5,Q975,J8,J985,762,K64,K9,QT2,AKQ54,82,AT632,76,JT93,AJT3,Q754,AK43,8
324,3,QT8,QJ94,953,Q83,9732,AT763,J8,75,AK54,2,KT64,KJ64,J6,K85,AQ72,AT92
325,4,QT8,7,AT96,QJT53,A654,42,J87,9874,J7,KJ985,K543,AK,K932,AQT63,Q2,62
326,3,K,J8,T853,AQJ764,64,AKT6543,J9,T9,QT975,Q92,A762,3,AJ832,7,KQ4,K852
327,10,KQJT95,T6,AK7,94,83,K853,Q2,AKQ32,742,QJ,JT93,JT75,A6,A9742,8654,86
328,9,AJ2,973,AQ9,KQT2,94,KT4,KT653,765,T87653,J852,-,984,KQ,AQ6,J8742,AJ3
329,6,K9,987,QJ93,9842,AQJT62,Q,A5,KT76,87,A6542,KT8,A53,543,KJT3,7642,QJ
330,4,KT9,9632,AK86,Q4,Q87642,T75,75,AJ,J,A8,T9432,KT832,A53,KQJ4,QJ,9765
331,5,AJ6,T542,J952,74,KQ92,J9763,A,T96,T7543,AQ,KT86,J3,8,K8,Q743,AKQ852
332,7,T62,98,T743,AK73,AQ7,KQJ53,Q98,95,K4,T42,K62,T8642,J9853,A76,AJ5,QJ
333,6,K,K85,AQJ963,Q98,AQ974,43,87,J762,T862,976,K5,AT53,J53,AQJT2,T42,K4
334,1,AT8,J4,JT976,643,62,7653,842,J872,J4,AKQ82,A3,KT95,KQ9753,T9,KQ5,AQ
335,0,T94,T7,AQ93,8752,J83,K,T64,KQJT94,K6,AQ98432,52,63,AQ752,J65,KJ87,A
336,2,73,AT6,J9764,J83,982,J985,T53,AT2,KJ,K732,AKQ8,964,AQT654,Q4,2,KQ75
337,12,KJT2,43,KJ984,A9,A,AQJ87,Q6,KQ863,Q65,T52,A732,J72,98743,K96,T5,T54
338,1,763,QT8542,982,5,K9,KJ976,QJT4,T7,Q542,-,653,QJ9863,AJT8,A3,AK7,AK42
339,7,J4,KQ5,KQ8632,T6,K2,AT987432,-,753,A3,J6,AT975,AQJ9,QT98765,-,J4,K842
340,0,KJ9632,85,JT93,9,T74,QJT32,K42,Q2,5,A9,AQ6,KT87653,AQ8,K764,875,AJ4
341,7,8653,AKJ92,Q9,T2,AKJ2,Q43,AKT4,J4,T7,T65,72,AKQ763,Q94,87,J8653,985
342,5,AQT4,J5,J9654,65,J82,A8432,Q2,QT9,K953,-,AT873,J874,76,KQT976,K,AK32
343,2,T6,T987642,83,A4,Q73,J,K9652,T986,J9842,AK,AT7,732,AK5,Q53,QJ4,KQJ5
344,6,A6,J976,AJT93,42,J74,A32,862,Q765,KQ53,KT5,KQ5,T98,T982,Q84,74,AKJ3
345,4,J2,K93,K765,T432,T7,T6,AQT9432,Q9,KQ653,AJ4,J,KJ65,A984,Q8752,8,A87
346,10,AQ7,KJT5,AKQ2,AJ,T83,Q76,T654,T32,K6542,84,J873,Q5,J9,A932,9,K98764
347,6,QT,5,K8632,AKQT9,954,QJ763,AT,532,K63,AT94,954,764,AJ872,K82,QJ7,J8
348,0,A543,642,T42,K97,KQT976,9,J3,J843,82,J8,AQ985,Q652,J,AKQT753,K76,AT
349,7,QJ5,J762,J,QT874,986,AKQT983,K87,-,AKT2,-,AQT64,KJ96,743,54,9532,A532
350,6,AJ98,AQ6,-,976542,Q5,8,KQ86542,AQ8,743,JT974,JT,KJT,KT62,K532,A973,3
351,7,52,AT9764,K9,Q32,A843,Q32,A2,KJT9,QT976,8,863,A765,KJ,KJ5,QJT754,84
352,7,AT,42,AQJT65,AK7,K932,QT,842,JT53,54,KJ9875,K73,Q2,QJ876,A63,9,9864
353,5,K97654,6,Q972,J7,A2,JT743,AT3,T52,QT3,A95,K85,AQ98,J8,KQ82,J64,K643
354,8,JT532,QT2,QJ6,KT,AKQ,743,K72,J832,9864,AKJ,A54,Q97,7,9865,T983,A654
355,11,65,AT98632,6,AK4,AQ,QJ754,Q9854,6,742,-,AKJ2,J97532,KJT983,K,T73,QT8
356,3,T95,AQ542,T,QJ74,AKQ842,J873,96,2,J3,9,AKQ875,9653,76,KT6,J432,AKT8
357,9,KJT6,AQT93,K,J43,432,742,AJ52,KQ8,AQ975,K,Q876,A95,8,J865,T943,T762
358,6,T972,T4,86,AJT85,AQ,A9872,J752,K7,J85,KQJ653,AKT9,-,K643,-,Q43,Q96432
359,8,KJ,JT3,A8752,AQ6,Q983,AK,QT9,JT75,AT4,Q97542,KJ3,9,7652,86,64,K8432
360,8,A64,A984,K4,QJ74,QJ75,T6,AQT532,T,T93,K52,J86,K865,K82,QJ73,97,A932
361,10,AT86,Q94,Q3,KQ62,Q7,J762,AKJ54,A8,KJ4,AT85,986,JT3,9532,K3,T72,9754
362,9,QT6,T75,KJ9865,7,J2,AK6,QT2,AQT53,AK98754,982,43,6,3,QJ43,A7,KJ9842
363,7,K852,4,942,98764,A74,J5,A86,AKJT2,T96,KT9762,KJT3,-,QJ3,AQ83,Q75,Q53
364,6,8,AT765,A2,T9742,A94,J9,K97654,A3,KQT762,K84,Q,KQ5,J53,Q32,JT83,J86
365,1,J943,J96,6,JT643,2,KT72,T83,Q9752,K876,A85,J542,A8,AQT5,Q43,AKQ97,K
366,3,AKQ432,92,JT3,J4,T87,AKQJ86,7,876,9,43,Q9842,AKQ52,J65,T75,AK65,T93
367,5,KJT4,976,754,AJ4,Q7532,KT3,KJ96,2,A,Q852,A832,9763,986,AJ4,QT,KQT85
368,4,AQ876,J765,T5,98,J432,T93,AQ876,J,KT5,AK4,432,QT52,9,Q82,KJ9,AK7643
369,8,8,AKJ9865,J3,KJT,KQ93,Q,KQ8752,83,A764,T42,94,9642,JT52,73,AT6,AQ75
370,6,J64,Q87,Q972,T92,AK8,AJ4,T84,K754,Q9752,62,J63,Q63,T3,KT953,AK5,AJ8
371,7,762,QJ654,AT6,AT,43,AT983,K943,KJ,AQJT98,K,Q87,Q97,K5,72,J52,865432
372,10,AJ432,T76,J,K987,QT6,AK,KQ96,QT63,9875,Q9432,A873,-,K,J85,T542,AJ542
373,6,A983,T743,96,KJ2,QJ54,Q95,KJ532,A,T2,AK8,AT74,9653,K76,J62,Q8,QT874
374,6,KJ92,QJ2,9843,76,Q875,K4,KJ6,AJ32,4,AT93,Q752,KQ94,AT63,8765,AT,T85
375,2,K63,A752,T72,KT8,-,Q643,9843,J9743,Q875,JT,AQ6,Q652,AJT942,K98,KJ5,A
376,7,J53,A97,Q94,Q943,Q842,842,AT6,KT8,AT,KQJ,J8752,AJ5,K976,T653,K3,762
377,0,T98,643,Q94,T986,42,8,KT876,QJ742,KQJ,AJT752,A2,K3,A7653,KQ9,J53,A5
378,8,AQJ432,AJ2,Q72,A,9,T93,K953,KT986,KT87,84,JT86,Q42,65,KQ765,A4,J753
379,5,AK73,J52,A5,T762,T84,Q86,J632,J95,QJ2,AT94,T8,AK83,965,K73,KQ974,Q4
380,2,Q4,A74,852,AJ642,9875,8532,7643,K,T632,KJT96,A,983,AKJ,Q,KQJT9,QT75
381,7,QJ854,KT3,A,K952,T,J742,T5,AQJT73,K7,AQ9,KJ986,864,A9632,865,Q7432,-
382,8,AT987,KT6,J7,QJ7,32,4,A9864,AT632,K64,AJ852,QT2,84,QJ5,Q973,K53,K95
383,6,J,T987642,K52,Q8,32,A3,AJ9874,AK3,K98,KQ,T63,J9742,AQT7654,J5,Q,T65
384,3,65,T64,T962,KT96,AQT32,32,Q5,Q543,874,Q8,KJ843,A82,KJ9,AKJ975,A7,J7
385,6,J4,QT764,T72,432,A7532,AK2,KJ53,8,QT96,85,Q8,AKQ76,K8,J93,A964,JT95
386,3,A5,75,K9542,AQJ6,873,9,8763,T7543,QJ64,A8643,A,K82,KT92,KQJT2,QJT,9
387,6,8,KQJT8,AK875,86,A6432,6,94,KJ532,K97,72,QJ2,AQT97,QJT5,A9543,T63,4
388,4,AQ3,K6,T7432,QJT,KJ,53,98,9876432,T9654,AQ82,AJ6,5,872,JT974,KQ5,AK
389,11,Q7,Q,KQ9854,AT42,AKJ8,AJ976,7,KJ6,T52,42,AT63,8753,9643,KT853,J2,Q9
390,10,AJ8754,9,KJ98,Q9,QT,KQ6,AQ765,KT2,962,A4,T4,A87653,K3,JT87532,32,J4
391,7,QJT765,4,KT8,AQ5,2,AQ652,97,K9743,K98,K8,AQJ542,J6,A43,JT973,63,T82
392,3,98542,J5432,64,A,KQ7,9,QJ9,Q86543,A3,AKT87,AT732,9,JT6,Q6,K85,KJT72
393,3,KQJ4,875,9543,J2,A2,64,J6,K987654,T973,QT932,Q82,Q,865,AKJ,AKT7,AT3
394,8,AQJ96,3,AQ7,JT75,3,AJ9874,T954,Q2,KT842,QT2,KJ,963,75,K65,8632,AK84
395,8,QJ83,A,K94,QT532,A75,KQ9,AJ865,94,KT2,JT63,QT32,K7,964,87542,7,AJ86
396,3,KT9643,J7,A3,A54,72,Q2,QJT8764,96,QJ85,A985,K5,J73,A,KT643,92,KQT82
397,8,T54,T762,KQ432,Q,A9832,KJ3,J,AK54,KJ76,54,A96,J976,Q,AQ98,T875,T832
398,7,74,QT986,KQT4,75,A5,KJ73,97,AQJ43,J9832,A2,AJ86,96,KQT6,54,532,KT82
399,2,K8753,J72,K4,T83,AQ94,93,AJ7632,6,T6,KQ865,Q95,KQ9,J2,AT4,T8,AJ7542
400,4,T82,AJ,J853,KT75,AJ97653,T943,-,J4,K4,852,KQT4,A832,Q,KQ76,A9762,Q96
401,8,KT2,AKQJ8,95,AJ6,J,975432,QT7,832,74,T6,K8432,KQ54,AQ98653,-,AJ6,T97
402,4,T32,JT97,74,AK53,A6,Q42,QJ9532,97,J985,A3,A86,T642,KQ74,K865,KT,QJ8
403,6,986,A9,K87,J8765,KT432,QJT3,QT,QT,QJ5,K862,AJ963,K,A7,754,542,A9432
404,6,QT952,764,KJ,K93,-,KQJ82,A98754,T8,AK7643,A9,-,AQJ74,J8,T53,QT632,652
405,5,52,J742,A643,A97,AQT4,QT96,JT72,T,K6,85,KQ9,KQJ854,J9873,AK3,85,632
406,11,96,AQ7,KT9543,96,AT873,J4,AQJ,AQ8,KQJ4,T532,762,53,52,K986,8,KJT742
407,4,KT9872,3,JT73,K8,3,J86,A652,AT432,QJ65,AQT952,98,J,A4,K74,KQ4,Q9765
408,10,K864,KT,A96,KQT7,AJ97,J6,J73,A953,Q5,AQ9543,T82,J4,T32,872,KQ54,862
409,6,T52,Q85,87643,K4,AQ74,964,AK,QJ32,93,AJT7,92,AT865,KJ86,K32,QJT5,97
410,6,J98,AQ953,6,T654,AT743,-,QJ73,QJ92,65,KJ762,T98,A87,KQ2,T84,AK542,K3
411,6,AJ6,J843,654,Q76,53,AKT95,K973,85,QT2,Q2,QJT82,432,K9874,76,A,AKJT9
412,3,6,AT9865,643,A97,75432,Q2,A8,J863,A,743,KT952,KQ42,KQJT98,KJ,QJ7,T5
413,1,Q93,KQ,Q82,97642,T86,T97654,T4,K8,AKJ74,J3,KJ93,A5,52,A82,A765,QJT3
414,2,KT2,KJ52,AK54,JT,874,83,92,975432,65,AT9,QJT,AKQ86,AQJ93,Q764,8763,-
415,8,83,9872,32,AKQ65,AKQJ,AT653,964,3,T652,KJ,KQJ8,J74,974,Q4,AT75,T982
416,5,J964,AJ2,62,Q982,AT87,3,A843,JT74,KQ,Q85,KJ9,AK653,532,KT9764,QT75,-
417,7,AKT9,KT9753,8,75,87,QJ2,AKQJ54,Q9,Q63,84,972,AJ863,J542,A6,T63,KT42
418,3,T72,QT5,Q97,JT32,K3,AJ9763,J8,875,J98654,84,AT432,-,AQ,K2,K65,AKQ964
419,10,AQ63,KQ93,J93,75,T84,J7,AK82,AJ32,K5,A82,T754,T864,J972,T654,Q6,KQ9
420,6,95,AJ42,T975,AQ9,KT83,KT7,42,8543,J62,Q83,AKQ8,T76,AQ74,965,J63,KJ2
421,5,AQ432,J865,J2,JT,KT75,9,K953,8432,J96,AQT742,T8,K9,8,K3,AQ764,AQ765
422,12,QT8,KJ32,K,KJT98,AK43,AQ7,QJ42,A5,976,T865,853,Q73,J52,94,AT976,642
423,6,85,KJT,AK84,J853,AKT763,6,962,Q96,Q92,A842,T,AKT74,J4,Q9753,QJ753,2
424,2,532,K65,AJ5,9743,Q76,93,KT96,T852,KJT4,8742,Q3,AQ6,A98,AQJT,8742,KJ
425,5,AJ962,9,QJ63,974,Q,AKJT832,T8,T86,K853,Q4,AK9542,Q,T74,765,7,AKJ532
426,4,732,JT8,Q832,A87,QT965,KQ5,J5,Q42,KJ,A632,764,J653,A84,974,AKT9,KT9
427,6,T,AKJT843,Q965,7,QJ942,75,J,AKJ53,AK8653,-,A87,9862,7,Q962,KT432,QT4
428,7,T,AJ83,AJ652,A43,976,QT9,T43,K976,KQJ53,K752,7,Q82,A842,64,KQ98,JT5
429,5,AT432,T98,T7,T75,Q,K63,A962,AJ863,KJ65,Q72,K3,KQ94,987,AJ54,QJ854,2
430,4,AK74,Q7,Q642,A94,QT53,J2,KJ87,875,J9862,K95,953,J2,-,AT8643,AT,KQT63
431,12,T92,AKJT9,KT852,-,AK753,54,-,AKQJ87,Q8,8763,AQJ943,4,J64,Q2,76,T96532
432,5,J72,T43,A72,A852,KQ95,98,J954,KQ6,AT6,AKQJ62,Q86,T,843,75,KT3,J9743
433,12,9,KQT53,Q8,AKJ53,AJ43,A64,A763,87,KQT5,97,KJT5,Q42,8762,J82,942,T96
434,8,AJ84,J93,84,KQJ3,92,A742,AKQ9,764,KT5,QT8,J7653,82,Q763,K65,T2,AT95
435,5,-,Q8542,A9653,QT9,AQJ763,763,J,J86,82,AKJT,KQT2,A43,KT954,9,874,K752
436,1,A742,KQT43,5,764,J9,J982,72,JT832,QT53,A5,AKQ64,KQ,K86,76,JT983,A95
437,3,KQJ7654,KQJ,2,64,98,732,A965,J852,A3,984,KJT83,A93,T2,AT65,Q74,KQT7
438,3,76,AK65,Q9432,T7,QJ32,J9,85,J9652,KT98,7,AJT,AQ843,A54,QT8432,K76,K
439,3,Q985,872,J942,A6,7643,AT64,T5,Q74,T,K93,AKQ763,K85,AKJ2,QJ5,8,JT932
440,6,AT7,KT6,87632,86,K952,985,AJ,KQ72,3,AJ2,KQ94,A9543,QJ864,Q743,T5,JT
441,6,9643,K,AK53,AQ72,T8,QJ842,QT872,9,AQ7,AT9763,J,T53,KJ52,5,964,KJ864
442,5,872,Q96,A8732,K6,T653,AT,KT,Q9874,A9,K8752,QJ,JT52,KQJ4,J43,9654,A3
443,7,Q73,5,KQJT4,AJ98,-,AKQ,A65,KQ76543,AT9652,987643,2,-,KJ84,JT2,9873,T2
444,7,J94,T,AKQT63,A64,T52,Q964,J42,T75,AKQ6,832,75,Q982,873,AKJ75,98,KJ3
445,10,AKQ9,KT954,A97,A,-,AQJ32,854,QJ876,JT65,87,32,T9543,87432,6,KQJT6,K2
446,7,QT,KJ,KJ76432,97,AK543,T62,85,KJ5,962,AQ854,A9,AQ6,J87,973,QT,T8432
447,3,A9,KQT,AJ942,T82,J63,643,Q653,J74,2,9852,KT8,A9653,KQT8754,AJ7,7,KQ
448,4,AKJ964,Q8,A765,6,Q853,T954,KJ8,94,T7,AK,T9432,AJT5,2,J7632,Q,KQ8732
449,3,K6,95,AJ52,QJ754,8753,A876,63,632,AJ92,KQJT43,74,A,QT4,2,KQT98,KT98
450,3,K63,A5,KT2,J9743,975,Q76,A543,K82,J2,KJT843,97,AQT,AQT84,92,QJ86,65
451,9,Q3,AQT4,7543,QT5,652,KJ62,AQT6,A9,KT84,93,98,KJ432,AJ97,875,KJ2,876
452,12,Q,K965,K62,AJ753,AJ7,AQ,AQ543,K96,98642,T73,JT7,42,KT53,J842,98,QT8
453,2,75,Q82,J754,QT85,QJ9862,J3,A2,743,K3,97654,K83,KJ6,AT4,AKT,QT96,A92
454,5,A6,9832,Q543,QT7,K9542,K,AJ6,J643,JT3,QT654,K972,2,Q87,AJ7,T8,AK985
455,4,K8752,Q72,A4,AQ2,JT3,94,T9752,543,Q6,AJ83,QJ,KT987,A94,KT65,K863,J6
456,7,732,KQ82,32,K853,AQT5,J94,K754,A2,KJ86,A7,AQJT9,J7,94,T653,86,QT964
457,12,AK92,K64,AT9,T85,T3,AJ,QJ7654,AQ4,Q7,T87532,K,KJ72,J8654,Q9,832,963
458,10,AQ,AK962,AQ832,6,84,QT8,KT76,J852,KJT953,743,J,Q74,762,J5,954,AKT93
