Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
228,5,T65,8,AK,AQJT852,Q3,Q93,T7542,K76,AK942,AK6,QJ93,3,J87,JT7542,86,94
229,6,9862,A542,J2,AK4,KJ3,T986,A94,987,AQ754,7,T76,Q652,T,KQJ3,KQ853,JT3
230,6,T952,8,AT95,J752,KJ763,KJ9764,-,K9,A,A32,KQ732,AT64,Q84,QT5,J864,Q83
231,3,QT5,T53,863,KQ65,AJ83,QJ86,T95,87,K9642,K4,KQ2,943,7,A972,AJ74,AJT2
232,5,KJ52,T3,K72,K943,QT7643,98,AJ54,7,98,AQ652,T83,AJ2,A,KJ74,Q96,QT865
233,5,AJT97,A,J743,T86,852,KT975,A96,Q9,3,Q64,KT852,AJ43,KQ64,J832,Q,K752
234,6,AJ84,Q93,KT5,A32,92,J7542,J83,JT8,T765,K6,Q62,K764,KQ3,AT8,A974,Q95
235,3,T5,Q754,KQT62,93,KQ843,J2,J7,J865,AJ,863,A954,QT72,9762,AKT9,83,AK4
236,8,AJT5,AK874,875,6,K976,T96,94,AK93,Q83,Q5,AKJ62,QT4,42,J32,QT3,J8752
237,6,AJ9874,QT,QJ985,-,Q,952,AK6432,QJ4,K52,AK643,T,AK87,T63,J87,7,T96532
238,1,QJ643,742,93,T65,KT5,J965,KQJ6,Q9,7,AKQT3,AT84,732,A982,8,752,AKJ84
239,4,KQ87,42,9542,932,T3,KQT853,AK,Q76,J542,76,JT7,AT85,A96,AJ9,Q863,KJ4
240,3,Q954,8763,53,753,KJT6,2,KJT98,AQJ,82,A9,AQ72,T8642,A73,KQJT54,64,K9
241,10,KT8652,K82,2,AK4,AJ,QJ7,QJT53,Q75,Q94,AT654,986,93,73,93,AK74,JT862
242,5,Q5,KT2,J654,QJ96,J93,QJ54,97,A843,A62,873,AT832,K5,KT874,A96,KQ,T72
243,5,T6,983,QT965,543,J3,AJT76,K3,AKQ8,K92,K,J8742,J762,AQ8754,Q542,A,T9
244,10,Q6,98,AJT864,AQ5,AK75,AK42,2,K432,JT,Q653,753,JT97,98432,JT7,KQ9,86
245,7,AT63,A7,T6532,72,-,QJ52,KQ874,KQJ6,KQJ82,T864,-,T985,9754,K93,AJ9,A43
246,5,AQT,KQ73,43,AT42,875,T4,9762,J975,K96,AJ62,AJ8,K63,J432,985,KQT5,Q8
247,3,76543,8654,T8,J8,K2,AQ32,J743,AT7,AJT,7,KQ962,KQ43,Q98,KJT9,A5,9652
248,8,K5,AKT763,-,QJT73,J862,92,AKJ8,K94,AT74,5,Q9543,A62,Q93,QJ84,T762,85
249,4,QT84,A862,4,KJT3,A65,J,KJT9853,86,KJ32,T7,Q762,A94,97,KQ9543,A,Q752
250,7,K864,3,QJ96,9654,AT5,AKJT842,T3,8,972,95,A872,QJ73,QJ3,Q76,K54,AKT2
251,2,T8,J9852,K,JT852,A973,763,JT87,97,KJ4,AKQ4,A964,63,Q652,T,Q532,AKQ4
252,11,A,KT432,AKQ6,QJ7,T932,-,J93,AKT432,K8765,QJ76,7,965,QJ4,A985,T8542,8
253,4,7532,KJ87,JT6,98,AKQ96,T965,A43,T,JT84,42,9852,AQ3,-,AQ3,KQ7,KJ76542
254,7,AT72,65,9872,JT6,KQ8,AJ3,AK64,Q87,53,KQ84,QJ53,432,J964,T972,T,AK95
255,5,72,A9754,AQ64,94,Q984,T82,J8,KJT7,T63,KQ,T7,AQ8653,AKJ5,J63,K9532,2
256,7,Q52,Q54,KJ652,A4,KT86,KT87,AT98,J,73,A32,Q73,Q9653,AJ94,J96,4,KT872
257,10,AJ8,84,AQ842,K74,Q2,KT96,J65,AQ32,KT963,A73,73,T96,754,QJ52,KT9,J85
258,9,AJ5,QJ6,AQ,KQ643,T982,KT84,964,T5,K7,53,KT8532,J98,Q643,A972,J7,A72
259,4,Q63,K32,T,KJT832,AT94,QT8765,J3,5,J875,AJ94,A92,Q4,K2,-,KQ87654,A976
260,13,84,AQ,KJ432,JT42,AKQJ32,K97,A9,A5,T975,T42,8765,K6,6,J8653,QT,Q9873
261,7,KQ93,73,KT98,A84,JT2,QJT,A742,Q63,A6,K854,J5,KJT52,8754,A962,Q63,97
262,2,KQ98,JT632,74,86,J,Q985,JT63,9432,765,K74,AKQ9,QJT,AT432,A,852,AK75
263,8,Q762,AKQJ,AT,QT2,9,862,QJ652,KJ53,AJT4,75,K843,984,K853,T943,97,A76
264,7,JT752,83,86,KJ73,AK3,KJ75,Q932,A6,98,Q9642,K54,T85,Q64,AT,AJT7,Q942
265,5,K753,JT63,93,KJ6,QJ6,AQ4,Q42,T753,AT92,K972,KT6,Q4,84,85,AJ875,A982
266,9,94,Q8743,KQ,K543,AQT87652,-,632,J8,J3,J,AT875,A9762,K,AKT9652,J94,QT
267,7,-,T987,T754,Q9843,T95,A4,AJ83,AKT7,AKJ83,J63,KQ,J52,Q7642,KQ52,962,6
268,4,Q,532,J54,J96432,AJT74,K97,32,A85,96532,Q84,QT7,K7,K8,AJT6,AK986,QT
269,2,T42,JT6,J74,J753,96,952,QT82,KT84,A875,A874,A63,92,KQJ3,KQ3,K95,AQ6
270,5,A982,976,QJ9,T72,5,QJ8432,AK3,A85,JT43,KT5,74,K963,KQ76,A,T8652,QJ4
271,6,A8,T986,AQ63,854,KT9762,J53,-,AKJ2,Q,KQ42,J8542,Q93,J543,A7,KT97,T76
272,4,KQ83,J764,98,AT2,9752,K8,K6,Q9543,AT4,T9,AT432,876,J6,AQ532,QJ75,KJ
273,5,75,QT8,KQJ5,8743,4,76543,A9863,A6,K862,AK9,2,KJT95,AQJT93,J2,T74,Q2
274,5,J84,AQ654,J3,AQ6,Q32,T7,9754,K875,T96,983,Q86,J943,AK75,KJ2,AKT2,T2
275,10,KQ72,AK94,A98,AJ,54,J7,KT7643,963,AT63,T532,52,QT4,J98,Q86,QJ,K8752
276,1,9753,T5,AQJ74,72,QT84,86,T632,T53,J62,J932,K,AKQJ8,AK,AKQ74,985,964
277,9,J954,J973,AK,A74,AK,84,J874,KQ986,Q7632,KQ62,Q6,J5,T8,AT5,T9532,T32
278,2,9862,J,J964,Q632,T4,KQT854,75,KJ9,KJ75,9732,Q8,T74,AQ3,A6,AKT32,A85
279,9,A962,AT854,6,AJ8,Q,Q72,AQ42,QT952,KJT43,K93,JT85,4,875,J6,K973,K763
280,6,K8432,KQJT,K,Q65,JT765,A53,2,AKJT,-,42,AQ7543,87432,AQ9,9876,JT986,9
281,8,AQ762,QJ,AK74,A4,KJ95,76,Q6,KQ972,4,AKT98,JT953,T8,T83,5432,82,J653
282,8,K,A98763,T832,32,AJT2,QT,AK765,87,8753,K4,Q9,AK964,Q964,J52,J4,QJT5
283,6,T74,J7643,K54,74,53,AKQT95,T32,A8,AK962,-,J976,9532,QJ8,82,AQ8,KQJT6
284,2,T9732,74,9,T9862,A64,A83,J852,J73,J8,KJ965,AKQT6,A,KQ5,QT2,743,KQ54
285,7,QJ72,42,AQ952,QJ,AT83,J73,K,K7642,9654,A85,J63,T95,K,KQT96,T874,A83
286,4,742,J764,Q982,95,KQ65,A98,KJT75,8,A98,KQ2,A6,K7642,JT3,T53,43,AQJT3
287,9,A8,T542,K,AKQ984,K65,AQ,JT8752,73,QJ743,-,AQ4,JT652,T92,KJ98763,963,-
288,11,AQJ73,AK6,A63,J4,84,5,KJ9842,Q753,K,QT8743,T5,A986,T9652,J92,Q7,KT2
289,4,KT87532,-,K5,AQT3,94,AT62,QJ,J8642,Q6,QJ9543,A9864,-,AJ,K87,T732,K975
290,7,A95432,3,2,AJ642,J8,K82,J8765,K85,KT7,QT4,KQ43,QT7,Q6,AJ9765,AT9,93
291,6,AKT93,AQ8732,4,A,84,6,KQ97653,965,Q765,K94,AJ2,Q84,J2,JT5,T8,KJT732
292,3,T7,AJ9,JT4,QJT52,9432,Q87532,53,A,AQ86,-,K972,K8643,KJ5,KT64,AQ86,97
293,11,KJ9542,AK,Q963,7,AT76,J3,KT4,AT94,83,T85,J7,KQ8652,Q,Q97642,A852,J3
294,8,QT983,T3,AQ3,T96,2,AJ97,J974,AJ75,KJ74,KQ854,K85,8,A65,62,T62,KQ432
295,6,642,QT9,QJ5,9832,AJT9875,AK76,A9,-,KQ3,J82,K876,T65,-,543,T432,AKQJ74
296,10,AJT,Q6,K832,AKJ4,Q543,AT752,AQ76,-,76,K3,JT95,T8632,K982,J984,4,Q975
297,10,AJT984,-,76,JT543,K,AT94,AKQJT3,KQ,752,7652,9842,A6,Q63,KQJ83,5,9872
298,7,653,Q95,KQJ95,T8,AQJ98,-,873,AQ953,T42,J8742,A6,J76,K7,AKT63,T42,K42
299,12,AT96,KQ82,AQ,K95,Q84,A93,KJ72,A76,K72,JT65,T864,84,J53,74,953,QJT32
300,6,A98,AKT98532,-,T4,Q63,4,KJ52,KJ532,5,6,AT9763,AQ987,KJT742,QJ7,Q84,6
301,7,65,T84,Q8542,AK5,AQJT42,J65,J9,J7,K,K97,763,T98432,9873,AQ32,AKT,Q6
302,4,T95,K95,QT753,T3,QJ62,AT762,92,85,A,Q843,J86,AKQ96,K8743,J,AK4,J742
303,6,K,AT83,KT75,QT63,Q53,KJ75,J43,J95,A987,9,Q96,K8742,JT642,Q642,A82,A
304,10,A43,AKQ,J943,KJT,T9,T85432,862,A4,KQJ82,9,QT,Q6532,765,J76,AK75,987
305,0,Q,K653,8753,J864,T75,98,JT4,K9532,AKJ,AQ42,KQ96,AQ,986432,JT7,A2,T7
306,3,KJ5,T632,982,K86,98732,Q7,J54,AJ5,AT,J94,AQT,QT932,Q64,AK85,K763,74
307,6,QJT953,QT7,A,842,K2,AJ982,K653,97,87,K543,QT72,T65,A64,6,J984,AKQJ3
308,4,J62,J864,Q64,A94,84,Q,AT972,JT652,AQT95,T972,J,K83,K73,AK53,K853,Q7
309,12,AJ94,AT,AQ72,985,K752,Q54,J4,AKQ3,Q86,KJ763,KT,T76,T3,982,98653,J42
310,2,T875,K64,KJT5,98,K4,JT72,Q763,JT5,J962,85,A842,A73,AQ3,AQ93,9,KQ642
311,6,A9,AQJ3,6,KT8642,K42,64,7432,Q975,7653,872,KQT98,3,QJT8,KT95,AJ5,AJ
312,5,Q75,QJ2,94,AKQ86,J6,K65,876,J7532,K843,AT9743,AT5,-,AT92,8,KQJ32,T94
313,0,3,87,J86543,KT32,KT86,532,97,A954,AQ974,KJ6,KQ,Q86,J52,AQT94,AT2,J7
314,6,743,Q42,AKT,K853,T92,AK76,72,JT97,AKQ65,983,8643,6,J8,JT5,QJ95,AQ42
315,8,9873,T3,K9653,A2,KT5,KQ64,AQ7,Q63,AJ,9875,84,JT754,Q642,AJ2,JT2,K98
316,6,J9542,A93,K76,72,AQ8,Q82,853,Q964,T73,K54,QT42,KT5,K6,JT76,AJ9,AJ83
317,5,Q6432,J96,K72,Q8,AT,K87532,A8,764,J,AQT4,543,AKJT3,K9875,-,QJT96,952
318,2,AKJT63,72,KT7,97,Q9752,3,J83,J652,-,AJT985,Q64,KQ43,84,KQ64,A952,AT8
319,6,JT542,9832,A7,K8,K986,5,93,AJT432,AQ7,KT4,QT862,75,3,AQJ76,KJ54,Q96
320,5,AJ6,J98,K742,876,Q975,KQ73,QT93,T,T432,42,A8,KQ953,K8,AT65,J65,AJ42
321,3,J763,73,J982,Q52,A,9652,KT65,KJ97,K95,AKQ8,A74,T86,QT842,JT4,Q3,A43
322,2,AT6,T62,A653,QJT,4,83,QT9872,9432,KJ98752,AJ54,4,K,Q3,KQ97,KJ,A8765
323,5,T9852,A862,7,A93,J6,954,QT832,K84,AQ743,-,AK54,QJT6,K,KQJT73,J96,752
324,8,852,AT97653,76,5,K43,K,AKQ9,AQJT9,Q7,QJ842,J85,863,AJT96,-,T432,K742
325,7,764,QJ432,AJ9,AK,KT98,T76,K74,J63,A,AK95,853,T9875,QJ532,8,QT62,Q42
326,9,Q98,K,AT64,KT832,KJ,JT54,KQ5,QJ96,AT65,AQ962,87,A4,7432,873,J932,75
327,10,KT6,-,QT874,AJ743,AJ752,AKT7,J,T95,983,QJ62,A92,KQ8,Q4,98543,K653,62
328,6,2,AK8654,KQ54,A5,KQJ3,-,986,J97643,987654,T92,JT7,2,AT,QJ73,A32,KQT8
329,2,QJ8,T972,A93,QT7,T9753,Q3,74,J853,62,AK86,KQT62,A4,AK4,J54,J85,K962
330,5,Q2,KQJ9,KT53,965,J98,T62,AQ984,Q7,K76543,7543,-,J42,AT,A8,J762,AKT83
331,10,A975,A3,AKQ76,95,KT62,97,8542,K87,J,KQT642,T,AQJT4,Q843,J85,J93,632
332,7,KJ9,KT763,KT6,AQ,7653,J954,84,J92,Q42,Q,QJ75,T8643,AT8,A82,A932,K75
333,10,AJT5,J95,A84,K86,K82,QT,QJT92,QT7,963,AK86,K,J5432,Q74,7432,7653,A9
334,3,87,42,QT862,9732,KJT4,QJ76,754,A5,A532,T853,93,T64,Q96,AK9,AKJ,KQJ8
335,10,AQT43,T9,Q85,AK5,K,QJ653,A96,QT43,J75,A82,JT72,872,9862,K74,K43,J96
336,9,AQJ,83,KQ93,JT52,K95,AJ4,52,KQ876,T2,9652,AJT74,94,87643,KQT7,86,A3
337,6,T82,AT5,J842,AKQ,KQ96,962,QT93,J7,J,KQ874,K5,T9864,A7543,J3,A76,532
338,12,A9,AKJ5,AT7652,A,KJT6,3,K43,KJ753,8753,Q9864,J,QT2,Q42,T72,Q98,9864
339,3,T9865,A84,Q5,Q86,K2,QJT53,973,KT4,Q74,K97,6,AJ9753,AJ3,62,AKJT842,2
340,5,J8,K65,9842,AKT2,A96432,7,Q65,Q65,QT75,T9842,AK,J7,K,AQJ3,JT73,9843
341,3,6532,Q985,742,A7,KQJT87,-,KQJ65,53,9,KT4,A83,KT9864,A4,AJ7632,T9,QJ2
342,5,Q83,Q985,KQ65,42,52,2,J32,AKJ7653,J974,KJ43,T94,Q9,AKT6,AT76,A87,T8
343,6,JT9,QT62,432,QJ4,76,KJ9,KQ5,AKT32,AK8,A843,AJT9,76,Q5432,75,876,985
344,6,AKT9,KQJ95,QJ,T8,54,843,KT986,J92,J82,T62,A2,KQ543,Q763,A7,7543,A76
345,3,T5,KQT8,A,J98543,A9874,7542,54,T6,32,6,K98732,AK72,KQJ6,AJ93,QJT6,Q
346,8,QJT,QJ832,J3,KJ5,8742,A,AQ84,QT32,AK,K954,K9652,97,9653,T76,T7,A864
347,6,T43,QJ8,J762,AQ5,K62,T764,K985,K4,9875,52,QT4,T962,AQJ,AK93,A3,J873
348,7,Q832,KT2,72,AQ85,AKT6,A65,KT,9632,J974,J93,Q93,T74,5,Q874,AJ8654,KJ
349,2,QJ975,74,T3,J865,AT6,QT986,6542,K,4,A532,AKQJ7,Q93,K832,KJ,98,AT742
350,7,JT,AK764,KT543,8,A9543,52,A9862,7,KQ76,T9,QJ,AJ642,82,QJ83,7,KQT953
351,4,KQJ4,A7,8,AQT764,9876,J964,Q7,832,T53,QT,AT9432,KJ,A2,K8532,KJ65,95
352,5,J943,KT9,AKJ8,63,Q8,43,43,KJT9542,KT765,875,Q6,Q87,A2,AQJ62,T9752,A
353,6,KJ8,-,8742,AQ9854,A92,KT9754,KT9,7,T53,863,AQJ,JT32,Q764,AQJ2,653,K6
354,7,52,T,85432,KJT86,KJT6,AKJ65,A,974,97,98743,T6,AQ52,AQ843,Q2,KQJ97,3
355,7,KJ87,AK652,A3,97,963,QT87,T86,K65,A54,J4,KQ974,J83,QT2,93,J52,AQT42
356,7,QT5,AT2,AKT62,A6,98763,84,QJ9,732,2,KJ765,5,KT9854,AKJ4,Q93,8743,QJ
357,10,QJ7,AKQ6,AK,KJ64,86543,-,QT42,QT72,AKT92,942,875,53,-,JT8753,J963,A98
358,3,A74,A9843,A,K973,832,2,T9863,8542,KQ6,QJ75,KJ4,AJ6,JT95,KT6,Q752,QT
359,8,KJ8,K84,Q64,K973,96543,AJ632,A,T2,A72,75,K982,QJ54,QT,QT9,JT753,A86
360,2,QJ5,T76,75,QJT74,T9862,52,A942,K6,73,J43,QJ83,A853,AK4,AKQ98,KT6,92
361,9,T3,T8,AKT76,KQT3,A86,KJ542,85,AJ9,Q72,A73,Q432,652,KJ954,Q96,J9,874
362,1,32,A65,QJ763,943,K64,QT742,98,T87,AQJ97,83,KT,AKQ2,T85,KJ9,A542,J65
363,9,AQ,J9632,AK72,A4,KT965,AT5,8653,9,743,7,Q94,JT8762,J82,KQ84,JT,KQ53
364,8,T8432,T63,KJ,AJ7,KQ7,J2,A963,KQ62,A95,K974,Q85,T53,J6,AQ85,T742,984
365,7,Q52,J72,K3,AK987,KJ964,A4,QJ9,QJ2,87,T93,A842,T643,AT3,KQ865,T765,5
366,12,AKJ52,A6,Q53,T74,Q7,Q3,AKJ872,KJ9,986,KT5,96,AQ863,T43,J98742,T4,52
367,4,KJ9732,43,82,JT4,Q8,AKT65,T654,K3,A5,QJ872,AQJ,Q72,T64,9,K973,A9865
368,8,98,QT974,AKT2,86,AJ4,A82,QJ9,AT74,QT765,3,8543,KJ2,K32,KJ65,76,Q953
369,4,K3,973,AJ,K87643,QT752,QT62,32,J9,AJ9,85,Q9764,AQT,864,AKJ4,KT85,52
370,7,3,AQ94,97,QJT975,KQJ,K62,J32,A632,T875,T853,AQ854,-,A9642,J7,KT6,K84
371,4,98763,Q95,4,A975,JT,J432,T875,KJ2,KQ2,KT76,Q962,T4,A54,A8,AKJ3,Q863
372,4,Q8432,K4,873,K98,AT9,T98732,J95,Q,J765,5,KQ642,JT5,K,AQJ6,AT,A76432
373,5,Q98,QJT9,Q6,J943,KJT73,62,AK92,72,A6542,A5,T854,Q8,-,K8743,J73,AKT65
374,7,Q74,K742,AT3,A86,A95,963,J82,QJ32,KJT2,QJT8,Q94,KT,863,A5,K765,9754
375,10,J943,KQ8732,J,84,K8,J94,AK42,AKQ3,AQ752,T6,653,952,T6,A5,QT987,JT76
376,1,K96,KQJ76,983,97,Q5,95,KT7654,Q52,T87,A842,-,AK8643,AJ432,T3,AQJ2,JT
377,8,Q,982,JT876543,J,KT96,AKQ,A,KT984,AJ52,J653,K2,632,8743,T74,Q9,AQ75
378,5,32,5,8753,KQT943,AK85,Q9632,QT,85,J974,7,AK942,A76,QT6,AKJT84,J6,J2
379,11,AJ75,63,KQ8,AJ72,T,AT9,AT32,KQ853,983,QJ84,76,T964,KQ642,K752,J954,-
380,4,KJ64,T95,A532,62,87,8642,98,AQT53,AQ92,AK7,J7,J974,T53,QJ3,KQT64,K8
381,8,A763,A86,AT74,83,Q5,KJT3,K6,KJ654,KJ92,42,932,A972,T84,Q975,QJ85,QT
382,8,A7,-,J84,KQT98532,T,AK9853,AKQ93,4,KJ86,Q42,T7,AJ76,Q95432,JT76,652,-
383,5,KT84,Q865,975,A4,A9765,J7,KQ42,83,QJ32,T942,J3,J95,-,AK3,AT86,KQT762
384,11,KT,AT6532,AKQ7,5,QJ96,K8,-,AJT9732,75,QJ974,J94,K64,A8432,-,T86532,Q8
385,9,KQ864,732,T,AJT9,AJT93,KQ6,QJ975,-,75,JT95,82,Q8764,2,A84,AK643,K532
386,4,Q3,J953,KT543,75,KT2,T62,87,AQ864,765,AQ4,QJ62,J93,AJ984,K87,A9,KT2
387,11,AKQT72,AJ,KT95,3,-,QT7,QJ76,AJT654,8654,K9632,432,8,J93,854,A8,KQ972
388,7,A86,JT843,QJ65,4,KJ92,2,AT984,Q82,QT43,AQ975,K,JT5,75,K6,732,AK9763
389,3,J983,KT8,JT964,3,K765,543,K,KQ954,T4,J62,AQ53,AT82,AQ2,AQ97,872,J76
390,6,K6532,QJ6,AJ,AJ9,Q984,T8742,QT3,6,T,AK93,985,K7532,AJ7,5,K7642,QT84
391,5,KT8764,98754,5,7,Q2,-,AKQJ76,KJT83,5,KQJT6,984,Q964,AJ93,A32,T32,A52
392,4,53,AJ43,752,K843,T962,52,AK94,J97,KQ87,KQT86,J8,62,AJ4,97,QT63,AQT5
393,8,AK62,KQ3,985,QJ6,QJ983,2,A6,AT873,7,AJ94,KQT743,K9,T54,T8765,J2,542
394,9,QT,9865,AQ85,A32,AJ9752,Q,KT64,95,843,KJ74,972,QJ4,K6,AT32,J3,KT876
395,6,AK7652,AJ,J86,J8,J3,T8754,AQ3,973,84,K9632,T75,QT2,QT9,Q,K942,AK654
396,7,AJT5,J85,JT9754,-,K32,K9,K6,KJT974,Q864,QT63,82,Q86,97,A742,AQ3,A532
397,7,AQ82,J843,J65,T5,K63,Q65,AK4,K864,JT54,KT,Q83,AJ32,97,A972,T972,Q97
398,4,T94,K73,T952,K97,QJ,AQ9,Q84,85432,K63,JT854,J63,QJ,A8752,62,AK7,AT6
399,6,AJ2,KQ2,AK7,Q985,763,JT94,Q5432,7,854,A853,6,A6432,KQT9,76,JT98,KJT
400,5,Q,QT93,QJT3,AJ54,97543,J74,-,KT863,KJT6,A6,AK98,Q72,A82,K852,76542,9
401,5,K5,Q3,QJT542,KQ5,QT96,T9765,9,942,873,K42,A76,AT76,AJ42,AJ8,K83,J83
402,12,KJ754,K7,KJT2,74,A8,AQT92,4,AKJT8,Q93,J8,Q876,Q632,T62,6543,A953,95
403,2,J95,AQ98,65,7643,Q,T7432,QT83,JT8,AT643,KJ5,J92,52,K872,6,AK74,AKQ9
404,4,4,AJ874,T754,AJ4,QJ862,6,Q32,K853,AKT73,K95,AJ9,T7,95,QT32,K86,Q962
405,9,Q94,A8,QJ75,QJ32,AKJ876,JT76,T9,A,T53,KQ953,AK4,T5,2,42,8632,K98764
406,2,K7,T74,KJ842,J75,3,Q9652,753,AQ62,AJT9854,A,6,K983,Q62,KJ83,AQT9,T4
407,7,KJ3,75,Q987532,J,75,AKJT9,AKT,T32,A942,43,J6,K9854,QT86,Q862,4,AQ76
408,5,K,J974,QJ64,T643,74,KQ6,AK82,AQ52,AJ8652,85,T3,K98,QT93,AT32,975,J7
409,6,-,AQJ65,AK63,T932,K98643,T97,95,J4,QJ,432,JT84,AKQ6,AT752,K8,Q72,875
410,5,A9875,5,K732,J92,64,QT986,AT94,Q8,Q3,J7,J85,KT7643,KJT2,AK432,Q6,A5
411,11,74,K8653,JT9,K73,AK92,AQJ2,A76,A2,QJ8,4,K82,JT8654,T653,T97,Q543,Q9
412,10,Q843,AKJT2,8,QT8,K9,9854,A95,AKJ9,A7,Q3,QJT32,7652,JT652,76,K764,43
413,5,972,Q7432,2,AK83,AKT83,J985,J3,T5,4,AT,KQ9754,QJ64,QJ65,K6,AT86,972
414,6,K943,J3,Q653,A97,AQ5,A874,K87,T54,JT82,K,AJ42,K632,76,QT9652,T9,QJ8
415,8,5,KJT76,J9732,AT,Q932,A42,KT6,K73,AJT87,Q985,A85,6,K64,3,Q4,QJ98542
416,8,K2,KJ7,QT54,T632,J9873,T6,AK63,AK,AT,Q98543,98,Q74,Q654,A2,J72,J985
417,6,J9862,93,KJ95,76,Q3,AT86,AQ6,K952,T7,KQJ5,843,QJT4,AK54,742,T72,A83
418,7,J,8632,KQT93,K97,AT964,J74,A82,J4,KQ532,KT9,5,A862,87,AQ5,J764,QT53
419,7,A,KT83,AJT85,865,T854,A9752,K4,Q2,K9632,J64,Q63,KJ,QJ7,Q,972,AT9743
420,7,52,KT9432,A52,53,AJ97,A,J984,KJT6,KQ64,QJ5,63,9742,T83,876,KQT7,AQ8
421,3,KJ3,Q932,KT63,J9,T7642,85,J87,874,Q9,AKT,AQ92,AK53,A85,J764,54,QT62
422,3,T,KQT54,A9,AQJ87,75,J6,T752,96532,AKQ632,972,K43,T,J984,A83,QJ86,K4
423,7,7,2,KJT72,KQT975,T985,AK73,Q,J632,AKJ6,JT984,943,8,Q432,Q65,A865,A4
424,6,QT974,Q653,4,753,AK8,KT74,KJT8,KJ,J6532,AJ,9732,94,-,982,AQ65,AQT862
425,3,42,J75,KT8,J7543,KT5,T94,AJ962,62,A9876,AK2,Q54,T8,QJ3,Q863,73,AKQ9
426,8,QJ865,AT764,A5,6,AK72,K9852,9,982,43,QJ,KQJ86,AJ43,T9,3,T7432,KQT75
427,6,QT8,A632,92,AK98,A942,J4,QT7,Q754,653,Q9,KJ654,JT2,KJ7,KT875,A83,63
428,2,T5,J86,K3,K98432,32,QT7,9742,AQJ7,KQ764,92,T865,65,AJ98,AK543,AQJ,T
429,10,Q5,AT9543,A62,Q6,KT9,KJ2,QJT,A874,J87632,Q7,984,K2,A4,86,K753,JT953
430,5,865,K754,Q7,KJT2,A4,QT98,K9842,85,T93,J63,JT5,AQ93,KQJ72,A2,A63,764
431,5,T654,QJ,AK7652,2,KQ92,KT62,83,JT9,A,743,JT94,Q8543,J873,A985,Q,AK76
432,6,QJ6,K643,QT85,KQ,T75,752,AK732,J6,984,AQJ98,J96,83,AK32,T,4,AT97542
433,10,AT75,974,AJ97,K4,KQ2,KJ52,K2,AQ87,86,AQT83,T853,T6,J943,6,Q64,J9532
434,7,QT75,A82,JT8,853,J6,KQT965,43,A96,A98432,J,975,J72,K,743,AKQ62,KQT4
435,6,972,AJ52,A843,JT,QT43,KT9,7,A8732,KJ8,864,K95,Q654,A65,Q73,QJT62,K9
436,6,632,K97,J732,AT5,AKQ85,-,KQT86,942,74,QJ6432,A4,KJ3,JT9,AT85,95,Q876
437,4,-,QT94,Q942,KT852,642,732,AKJT,A64,AQT853,A85,87,J3,KJ97,KJ6,653,Q97
438,3,652,63,KQ632,Q76,AT94,JT97,5,9853,K87,AKQ2,AJ98,J4,QJ3,854,T74,AKT2
439,9,JT86,AK,AJ7,QT94,KQ9753,T94,83,A8,2,J763,KQT96,763,A4,Q852,542,KJ52
440,12,Q6,KQJ94,AKQ,KQ2,KJ75,A8,J742,AJ5,98432,T632,T95,T,AT,75,863,987643
441,6,J9,AQJ98,KQT97,5,542,6532,-,AQ8762,AQ8763,K7,A532,4,KT,T4,J864,KJT93
442,5,JT75,J97,AJ,Q432,A4,T5,KT8652,K86,8632,AQ843,74,J9,KQ9,K62,Q93,AT75
443,1,T876,K732,KT3,43,QJ943,J,9,Q97652,K5,Q85,AQJ82,AKT,A2,AT964,7654,J8
444,10,A63,K85,975,Q952,J2,AJT3,AQ842,AK,Q5,Q9762,3,T7643,KT9874,4,KJT6,J8
445,7,AK95,763,A53,AT4,T2,AJ9,JT8762,63,QJ8643,K8,9,J952,7,QT542,KQ4,KQ87
446,3,AK43,63,T984,987,QJT52,J8542,-,QJ6,876,AT7,AJ75,K54,9,KQ9,KQ632,AT32
447,6,Q532,J7,J5,AJ832,A87,A863,Q72,T65,JT,QT4,AK864,Q94,K964,K952,T93,K7
448,5,K98,QT873,A64,63,Q,K964,8753,J987,JT6,J52,92,KT542,A75432,A,KQJT,AQ
449,1,KT5,98752,AQ93,4,J83,Q,T7654,J632,A94,J3,K8,AKT975,Q762,AKT64,J2,Q8
450,6,AJ5,A987,AQ93,84,KQT,JT2,KJT52,J9,872,Q,86,KQ76532,9643,K6543,74,AT
451,10,AK7,JT93,A74,K93,T42,KQ852,K95,Q6,QJ9,7,JT862,JT72,8653,A64,Q3,A854
452,10,AKQ87,K95,J54,Q4,T92,J86,A96,AJT6,64,AQ32,QT82,872,J53,T74,K73,K953
453,1,QJ9,KT986,54,743,AT87,J2,763,9865,6543,AQ75,9,AQJT,K2,43,AKQJT82,K2
454,4,KT9,9762,J83,652,A3,QT5,T,AKQ9874,J764,K83,Q64,JT3,Q852,AJ4,AK9752,-
455,3,84,98,972,T87643,JT95,KJ4,AT86,KJ,Q7,A76,KQJ54,Q92,AK632,QT532,3,A5
456,3,Q7,KT9,Q65,KQT87,KJ62,5,KT9873,52,983,AQJ87642,J,A,AT54,3,A42,J9643
457,7,KJ742,92,AK9,943,93,AK85,7543,K65,AQ85,Q76,JT8,QJT,T6,JT43,Q62,A872
