Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
229,6,T9,J42,K97,AJ965,AK632,A97,J865,7,8754,QT3,T432,32,QJ,K865,AQ,KQT84
230,11,KT52,A32,T6,AK96,A983,K6,AKJ4,T74,7,QJ754,975,J832,QJ64,T98,Q832,Q5
231,6,763,AQJT862,J6,J,J9,K3,AQ8752,KT2,85,9754,KT9,Q743,AKQT42,-,43,A9865
232,7,Q2,A92,J94,AT983,K863,53,AQ86,J72,AT7,K87,K32,K654,J954,QJT64,T75,Q
233,3,JT8,A2,75,JT9432,KQ96,93,JT986,K8,43,QT54,Q432,AQ7,A752,KJ876,AK,65
234,7,5,K987,A3,AJ8753,K87643,6,42,KQT6,AQJ,Q543,KQJ65,2,T92,AJT2,T987,94
235,2,KJT6,87,53,98743,Q9874,KT,A94,KQ6,32,AQ52,QT2,AJ52,A5,J9643,KJ876,T
236,10,K6,AKQJ92,AQ952,-,AT92,86543,-,A954,QJ83,-,J8763,QJT2,754,T7,KT4,K8763
237,6,J93,T84,AKT63,T9,Q8,K9,QJ8,AQJ865,K76,AQJ65,94,K72,AT542,732,752,43
238,5,632,AJT64,Q54,72,KQJ74,K9,932,963,98,Q73,AKT87,QJ5,AT5,852,J6,AKT84
239,2,AJ852,T,JT75,653,763,Q3,AQ8432,97,KT4,AK97,9,AT842,Q9,J86542,K6,KQJ
240,4,543,J94,T8,AQ962,92,AQ832,6,JT843,QJT6,5,AKQ74,K75,AK87,KT76,J9532,-
241,7,A52,J8643,AQJ2,9,QJ3,Q2,KT94,KJ65,9876,A5,653,AT82,KT4,KT97,87,Q743
242,3,AQJ4,KQT3,964,T7,98653,642,QJ,KQ8,7,8,AKT852,J5432,KT2,AJ975,73,A96
243,7,A52,J643,Q52,T94,4,AKQ987,KT4,QJ2,JT976,T5,763,865,KQ83,2,AJ98,AK73
244,13,9,AJ94,KT742,A93,AKQT5432,6,AQ95,-,87,Q872,3,KT8754,J6,KT53,J86,QJ62
245,6,6,432,AJ75,AKT75,QJT75,J6,KT8,864,A9832,A875,Q32,J,K4,KQT9,964,Q932
246,3,K52,98752,K8,K76,8764,4,AT9764,92,AJ3,AJ6,QJ2,JT43,QT9,KQT3,53,AQ85
247,6,K97,AT42,QJ43,J5,T3,Q7,KT8762,Q97,J54,K985,A,AK862,AQ862,J63,95,T43
248,10,987,Q9743,KJ75,K,AKJ5,A,T432,A953,T,KJ8,AQ86,JT874,Q6432,T652,9,Q62
249,3,764,QT87,KT6,J52,KQT52,J963,3,KQ8,A93,AK,J52,A9643,J8,542,AQ9874,T7
250,4,QJ9853,T,J4,9832,-,AJ986532,93,AQ5,T764,Q7,AQ8752,6,AK2,K4,KT6,KJT74
251,3,765,A6,K62,J7532,Q,T95,QJT9543,KT,AJ432,KQ43,A,Q86,KT98,J872,87,A94
252,5,A843,K732,64,QJ9,K962,AQ,Q85,T873,QT7,9654,A97,654,J5,JT8,KJT32,AK2
253,4,Q86,K5,QJT7643,A,J9752,Q,K82,9742,K3,987643,A95,Q6,AT4,AJT2,-,KJT853
254,9,A763,A8,QJ62,A54,J98,QT6,AKT3,T62,K,K7543,97,KQ987,QT542,J92,854,J3
255,7,T97,QJ5,KJ65,K96,AJ84,3,AT874,J73,KQ652,98742,Q,84,3,AKT6,932,AQT52
256,7,98742,75,K32,J83,A63,KQ84,AJT8,A7,KQJT5,J3,54,KQ95,-,AT962,Q976,T642
257,1,3,K632,J6,J87653,A4,QJT854,T754,4,J876,A7,K92,AKQ2,KQT952,9,AQ83,T9
258,7,A2,J973,QJ,AT964,QT94,A4,K972,J53,K73,862,AT854,82,J865,KQT5,63,KQ7
259,5,Q762,AJ82,4,J872,T9,Q53,9765,AKT6,J8543,-,AKQJ32,94,AK,KT9764,T8,Q53
260,4,874,AK874,96,T73,AQJ93,3,T43,K862,KT6,QJT95,K52,J5,52,62,AQJ87,AQ94
261,7,J9763,Q,J2,QT872,AQ8,K874,873,AKJ,K2,JT63,KQ64,953,T54,A952,AT95,64
262,10,KJ,T764,J2,K9872,AQ963,K2,A873,AQ,T,QJ953,KQT96,63,87542,A8,54,JT54
263,7,A9,Q6,QJT852,Q75,42,T3,AK7,KT6432,T5,AJ874,964,A98,KQJ8763,K952,3,J
264,4,QT92,K9,KJ32,KJ8,654,J74,QT8765,6,AK73,T62,A4,A954,J8,AQ853,9,QT732
265,6,Q8,Q763,8,KJT862,A42,AJ8,Q9653,95,KT9653,K2,JT42,7,J7,T954,AK7,AQ43
266,1,K87,843,9432,QT3,T953,97,Q765,J84,2,AKQ52,AKJT8,62,AQJ64,JT6,-,AK975
267,9,92,AQJ965,43,K76,AK3,T2,AJT52,QT5,JT7654,3,K6,J842,Q8,K874,Q987,A93
268,1,JT85,J98,AT432,9,97643,763,KJ,T82,KQ2,AQ5,Q86,J743,A,KT42,975,AKQ65
269,2,K,T65,QT97,K7532,87652,94,J54,A98,QT93,Q873,K863,6,AJ4,AKJ2,A2,QJT4
270,7,7,A,KJ874,A87654,Q652,KT9743,A2,2,JT94,J65,QT63,Q3,AK83,Q82,95,KJT9
271,4,A92,AT98,QJ2,AJ2,75,653,8543,T743,QT43,Q2,AT976,98,KJ86,KJ74,K,KQ65
272,2,QJ,T43,QJ63,Q973,74,Q9872,T54,A52,AKT62,AK65,97,T4,9853,J,AK82,KJ86
273,4,T85,JT9,AKJT2,K8,KJ94,Q7543,64,T3,AQ732,K,87,QJ976,6,A862,Q953,A542
274,7,7432,KQ642,AJ2,4,AKJ6,J95,K953,K8,-,A83,T874,JT9752,QT985,T7,Q6,AQ63
275,1,KJ986,4,AT754,T6,Q43,K3,8632,Q874,AT7,AJ8652,-,KJ95,52,QT97,KQJ9,A32
276,6,AT986,KJ98,Q,643,75,AQT64,J965,JT,KQJ2,3,A72,AQ952,43,752,KT843,K87
277,7,QT8652,J5,85,A95,J7,AKT8,JT3,KT43,943,7642,KQ94,J8,AK,Q93,A762,Q762
278,8,JT6,A974,T6543,4,3,KQJT65,A82,A72,98754,82,Q7,JT65,AKQ2,3,KJ9,KQ983
279,7,K643,QJ5,953,J92,AJT87,AT,64,Q873,2,942,AJ87,AKT64,Q95,K8763,KQT2,5
280,4,T976,Q75,AJ,Q832,A832,84,Q975,K95,KQJ,AT62,T632,J4,54,KJ93,K84,AT76
281,8,Q654,752,K9654,5,AKT87,-,A,AJT8642,J9,AJ983,JT873,9,32,KQT64,Q2,KQ73
282,7,JT83,A9,42,AJT42,Q752,54,AJ76,Q83,A96,J762,Q953,K6,K4,KQT83,KT8,975
283,7,A96,K864,K7,AJ92,J753,Q,Q932,KT75,8,JT953,AJ4,Q843,KQT42,A72,T865,6
284,2,972,J874,K654,72,AQ53,2,QT9873,Q6,6,KQ965,A2,AJT95,KJT84,AT3,J,K843
285,8,A,Q762,AKQJ53,A3,JT6432,J84,7,765,9,KT953,962,KJ84,KQ875,A,T84,QT92
286,6,K875,KJ986,A3,QT,AQJT3,QT7,72,J92,2,A432,KQJT4,AK4,964,5,9865,87653
287,9,Q542,742,4,AQ972,-,AJ96,AK7632,JT8,KJ9763,T53,5,K64,AT8,KQ8,QJT98,53
288,8,K76,82,KT85,KT94,QT842,AK64,-,Q863,J5,QT973,AQ92,J5,A93,J5,J7643,A72
289,6,Q932,J43,964,K42,JT7,T86,KQ,AJT63,A64,AKQ5,T87,Q87,K85,972,AJ532,95
290,7,AKJ6,Q6,K,K96432,T983,7,AJT75,A85,752,T432,Q862,QJ,Q4,AKJ985,943,T7
291,9,Q,85,98542,AQT64,J965,AK932,AKT3,-,AT7,QJ64,Q6,K852,K8432,T7,J7,J973
292,2,QJT52,85,K6,Q654,86,KQ97632,T42,K,A7,AJ,AQJ9875,T9,K943,T4,3,AJ8732
293,12,Q98762,A,AKJ84,5,AK3,KT872,T52,K6,-,QJ94,Q963,QJT73,JT54,653,7,A9842
294,6,A53,Q,J6,JT98765,QT82,AKT94,T532,-,KJ7,J6,AKQ8,AKQ4,964,87532,974,32
295,0,73,3,AQ8763,9432,QJT92,7542,JT9,5,AK864,96,2,AKQT7,5,AKQJT8,K54,J86
296,3,Q94,542,K65,Q732,K76,KT873,T3,654,JT852,A9,AQ972,T,A3,QJ6,J84,AKJ98
297,0,62,KT6,QT9753,52,T5,QJ952,J864,87,A73,874,K2,AK964,KQJ984,A3,A,QJT3
298,7,QJ9,AQT6543,T8,K,KT653,J,AJ9,T932,A842,K92,K543,Q5,7,87,Q762,AJ8764
299,10,T765,862,K,AT743,QJ8,AKT9,AT6,KQ8,K32,Q754,853,952,A94,J3,QJ9742,J6
300,6,AQ875,4,KJ764,96,96,J632,Q2,AKQ43,J43,AK98,T85,JT5,KT2,QT75,A93,872
301,11,AT754,AKT4,-,A954,K982,Q8732,KJ53,-,63,J6,A9842,KT86,QJ,95,QT76,QJ732
302,6,KT,QJT3,963,AQ83,Q64,K6,JT852,T95,A987,A9875,7,KJ4,J532,42,AKQ4,762
303,13,KQJ3,AKT75,4,AK4,A92,J843,AJ52,Q7,T74,Q96,KQT96,T5,865,2,873,J98632
304,9,KQJ,KQ7,753,A654,A98765,J5,AT8,73,T3,AT8,Q962,T982,42,96432,KJ4,KQJ
305,12,AQJ8,3,AQ862,AT8,72,AQT62,K3,KJ32,9643,K74,J75,654,KT5,J985,T94,Q97
306,7,A9863,K7,JT72,96,Q2,AQT53,A863,J4,J75,J94,K954,Q83,KT4,862,Q,AKT752
307,0,QT,KQ862,982,T32,92,T3,JT3,A98654,AKJ865,AJ754,7,Q,743,9,AKQ654,KJ7
308,3,J,6432,A85432,T5,K985,KT7,JT7,K97,AQT62,AQ5,9,AQ64,743,J98,KQ6,J832
309,8,9,KJT,KJ9543,JT4,AK764,976,A6,873,T85,8,872,AK9652,QJ32,AQ5432,QT,Q
310,9,K9843,53,9852,97,A,AK92,AQ6,KQJ82,J752,T874,K74,T4,QT6,QJ6,JT3,A653
311,8,J2,J75,973,AKT93,KQ75,AQ83,AJ2,86,T843,T96,QT8,Q42,A96,K42,K654,J75
312,8,T4,A54,JT954,Q84,AJ972,K63,A832,A,K863,J9872,76,T7,Q5,QT,KQ,KJ96532
313,2,JT3,K,T62,QJ9853,5,QJ83,Q9843,K76,A42,AT642,KJ7,A4,KQ9876,975,A5,T2
314,7,J62,AQ65,J82,KT9,AQ7,K973,T6,J854,T98543,T8,Q974,2,K,J42,AK53,AQ763
315,4,732,Q84,J642,J94,AJ65,965,Q7,KQ65,KQ,73,AK93,AT832,T984,AKJT2,T85,7
316,2,T65,T764,62,K975,Q72,KQ92,J95,JT3,K4,J53,T843,Q864,AJ983,A8,AKQ7,A2
317,11,AKQT983,A7,85,K6,6,K8642,AQT96,J3,J742,QT5,K3,A975,5,J93,J742,QT842
318,6,AT85,AJ63,AT2,42,3,QT87,8643,KJ53,K64,K9542,K9,A86,QJ972,-,QJ75,QT97
319,4,AK,AT4,T632,A872,T942,9732,94,JT5,J76,Q5,AKJ7,K643,Q853,KJ86,Q85,Q9
320,8,K98,A95,QJ8,K643,A543,QJ,K9643,T9,QJT76,T76,A7,872,2,K8432,T52,AQJ5
321,6,KJ98,765,KT952,A,765,KJ8,76,KJ943,T32,T93,AJ43,Q52,AQ4,AQ42,Q8,T876
322,4,AQJ4,J72,K862,T5,983,QT986,A53,K8,76,53,QT94,AJ942,KT52,AK4,J7,Q763
323,8,KQ54,92,AJ7,KQ98,T96,K53,K652,T63,J32,JT864,QT9,54,A87,AQ7,843,AJ72
324,5,982,863,AJ54,982,JT63,T5,KQ63,K75,AQ54,AKQ4,987,J4,K7,J972,T2,AQT63
325,10,865,T98,K6,AJT75,QJT7,AKQ72,AQ,98,K3,4,J75432,6432,A942,J653,T98,KQ
326,13,Q43,AKJ42,765,T4,A92,86,AK9,AQJ73,KJT6,QT3,432,852,875,975,QJT8,K96
327,5,Q6,J96,JT84,A975,KJ543,87,A763,K8,92,AQ,K95,QJ6432,AT87,KT5432,Q2,T
328,3,T92,KJ54,986,KT2,K765,T87,JT7,Q95,A83,Q9,Q53,AJ863,QJ4,A632,AK42,74
329,7,AK972,-,J8754,K53,3,AQT843,A962,92,-,KJ97652,QT,T874,QJT8654,-,K3,AQJ6
330,6,96,J72,AT76,J872,A4,K53,QJ52,A543,KJT873,AQ,K4,KQ6,Q52,T9864,983,T9
331,3,53,AQ8,T862,AQJ5,72,T97653,K3,T76,J,KJ42,Q754,9832,AKQT9864,-,AJ9,K4
332,7,-,AJ92,KQ9732,Q84,KT9853,643,A85,T,QJ7642,T5,4,K973,A,KQ87,JT6,AJ652
333,6,Q8,KJ75,KQJ98,J3,752,AQ,64,AQT752,J96,T98,A532,K64,AKT43,6432,T7,98
334,5,T84,AQT6,872,JT2,K952,KJ7,93,K763,AJ76,3,QT64,Q984,Q3,98542,AKJ5,A5
335,7,AK743,QJ32,A5,AJ,Q952,8754,QT76,4,J86,AKT6,J94,T76,T,9,K832,KQ98532
336,7,AT9,J863,K2,Q942,87542,AQ75,A65,K,KQ,K92,QT73,JT76,J63,T4,J984,A853
337,12,K,AKQT,AT9,QT974,Q7542,982,K6,AJ5,83,J6543,J832,62,AJT96,7,Q754,K83
338,7,KT3,QJ9,AT4,QT85,QJ985,A4,85,9763,742,T8753,QJ763,-,A6,K62,K92,AKJ42
339,9,J52,JT6,AT87,A54,KT9643,A5,52,K83,87,9832,KJ63,QJ6,AQ,KQ74,Q94,T972
340,5,82,QT62,AQJ4,J54,AQ965,98,952,A83,KJT7,KJ73,T87,92,43,A54,K63,KQT76
341,5,J,865,AKJ7432,92,7,QJ74,Q85,AT763,T9852,T32,T96,Q4,AKQ643,AK9,-,KJ85
342,11,-,QT95,532,AQJT86,AJ75,AKJ7,KQJ4,K,T9842,42,A87,742,KQ63,863,T96,953
343,7,K8,A653,8652,A32,7653,KQ9874,-,Q97,AQJ4,J,AQT74,KT8,T92,T2,KJ93,J654
344,13,KT7,J87,9,KJ9643,A2,AKT65,A8,AT75,98543,Q3,6543,82,QJ6,942,KQJT72,Q
345,9,AKQJ9875,T3,6,A4,64,J542,AJ5,Q532,T2,KQ87,K942,JT7,3,A96,QT873,K986
346,4,QJ63,T72,Q63,Q64,AK97,KJ943,T,J95,T852,5,AJ9854,KT,4,AQ86,K72,A8732
347,6,AKJ32,J43,K2,984,6,KT85,J43,AQJT3,Q954,AQ92,85,K52,T87,76,AQT976,76
348,5,AQJT842,4,QJ9,KT,95,T632,AK6,J763,6,QJ975,8752,AQ5,K73,AK8,T43,9842
349,4,J986,4,AKQ6,K653,QT75,J95,952,J87,AK43,AQ76,43,T94,2,KT832,JT87,AQ2
350,9,A87,AK92,A73,KQ4,KJ643,T54,62,865,T52,J6,KQ85,AT73,Q9,Q873,JT94,J92
351,3,T9854,T32,52,K62,AKJ,Q5,873,AJ974,-,J98764,AKJ4,QT8,Q7632,AK,QT96,53
352,7,A9542,QJ6,Q,9542,Q3,K974,AKJ843,8,KJT,82,T97,KQJ73,876,AT53,652,AT6
353,8,AKQ743,T5,KJ5,A7,-,KJ874,Q942,J986,T9652,Q963,73,K3,J8,A2,AT86,QT542
354,7,953,AKT3,QT4,832,4,Q8762,AJ6,KQ76,AKJT6,9,92,AT954,Q872,J54,K8753,J
355,7,642,AQ972,95,Q76,A87,J63,AJ764,85,KQ,T5,KT83,AKJT4,JT953,K84,Q2,932
356,9,K52,AJ7,KQJ652,9,AQ876,Q,974,K632,JT3,K932,A83,Q75,94,T8654,T,AJT84
357,4,A6,AT43,AJT64,J9,874,QJ85,732,832,QT2,962,Q85,KQT7,KJ953,K7,K9,A654
358,9,65,A543,T9,AKJ72,AK9,QT8,K643,QT9,J84,KJ62,AJ2,643,QT732,97,Q875,85
359,7,K32,K862,AKJ7,65,JT85,53,92,AKT74,A976,Q7,Q653,J32,Q4,AJT94,T84,Q98
360,5,J753,AK3,J,KT652,Q8,9754,AT63,983,KT64,J62,Q985,J4,A92,QT8,K742,AQ7
361,3,K9874,K96532,K5,-,6,874,Q82,KQJ973,T32,AQJ,AT,T8542,AQJ5,T,J97643,A6
362,9,K74,QJ43,A752,Q9,T6,K652,KJ93,KT3,-,AT9,Q84,AJ87642,AQJ98532,87,T6,5
363,8,J863,K982,A63,J2,75,AQJ75,Q,AQ753,AK,64,KJT8742,98,QT942,T3,95,KT64
364,5,765,K6,AJT9,KJ93,Q9,9854,3,A87542,KJ84,AJ7,876542,-,AT32,QT32,KQ,QT6
365,9,Q975,K874,KQ3,K8,K862,T93,A75,QT6,A3,AQ,JT864,J954,JT4,J652,92,A732
366,8,53,KQT983,-,A8732,86,AJ4,AK9873,QT,QT72,5,QT2,K9654,AKJ94,762,J654,J
367,4,KJ75432,A3,A52,A,98,QT9542,Q6,JT5,AQ6,6,K974,Q7632,T,KJ87,JT83,K984
368,5,T9,65432,T953,96,AQ8,AQ7,AJ864,AJ,KJ432,K98,-,KQ752,765,JT,KQ72,T843
369,10,Q86,K63,AT6,KJT3,KT72,A7,QJ7,A872,953,JT98,942,Q64,AJ4,Q542,K853,95
370,7,86,865,AKJT3,Q54,AKT53,Q3,7,KJ963,942,AKT,Q95,AT82,QJ7,J9742,8642,7
371,11,AKJ872,4,K64,AQ8,T,AT62,A92,KJ743,9654,KQ97,T8,965,Q3,J853,QJ753,T2
372,1,92,QJ,QJ87653,Q9,J87,T6543,94,K87,AQ654,982,T2,A63,KT3,AK7,AK,JT542
373,8,AK98,Q87,KQ53,Q7,6432,J2,J94,AT94,JT75,K4,A7,K8632,Q,AT9653,T862,J5
374,12,KQ,A,AQJT9653,A7,A976,62,7,JT9843,J4,KQT43,K4,Q652,T8532,J9875,82,K
375,1,72,Q9842,432,654,QT95,7,KT87,J972,KJ8,AKJ63,A9,AKT,A643,T5,QJ65,Q83
376,2,JT7,KT7,7653,T43,A,53,KT982,K7652,95,AQ962,J4,AQJ9,KQ86432,J84,AQ,8
377,3,A98764,Q6,63,J52,J,T985,K9852,KT8,KQ5,AJ2,AT74,A73,T32,K743,QJ,Q964
378,7,9632,KJ4,A865,AJ,QJ7,A832,JT2,854,AT5,QT75,Q4,9632,K84,96,K973,KQT7
379,2,KQJ2,J5,Q8,T9732,T974,KQ98,754,Q5,8653,T632,T,K864,A,A74,AKJ9632,AJ
380,6,A42,T74,QJ94,T86,QT97,6,K5,AQ7543,KJ63,Q832,T732,J,85,AKJ95,A86,K92
381,8,J73,JT62,Q632,52,K9,AK7,AJT4,AK64,T86,Q943,K975,83,AQ542,85,8,QJT97
382,5,Q9542,62,T753,J2,873,J873,AQJ2,A7,KT6,KQ9,9864,Q43,AJ,AT54,K,KT9865
383,1,5,4,A975,QJ87653,KT73,T762,J4,942,AQ92,AJ9,K832,AK,J864,KQ853,QT6,T
384,5,JT9,QJT98,96,AKJ,Q42,K2,75,QT9652,AK7,763,KQT84,43,8653,A54,AJ32,87
385,1,Q9542,864,874,J8,-,T9732,AT962,QT9,T7,AKQ,KJ53,AK42,AKJ863,J5,Q,7653
386,4,A6,7642,QT63,T85,KQ87,Q83,AK87,42,JT53,KT5,9542,93,942,AJ9,J,AKQJ76
387,9,K42,53,K8,AQJT98,A86,KJ,Q97643,K3,QJ9,Q972,J52,765,T753,AT864,AT,42
388,5,QJ4,765,Q52,A862,76,AQT42,J97,K74,A83,KJ98,K863,93,KT952,3,AT4,QJT5
389,5,A73,T,QJT874,873,KT9,K97,K963,K62,Q42,AQ43,A52,AJ9,J865,J8652,-,QT54
390,1,T965,J4,KJ85,A94,Q3,T2,62,QJT8763,AJ8,AKQ976,QT4,2,K742,853,A973,K5
391,6,Q832,9872,AJ54,4,AKT64,A6,KQ872,5,9,JT3,T6,QJ98632,J75,KQ54,93,AKT7
392,5,K9543,T43,J872,4,QT,AK72,AT654,62,762,QJ96,Q3,AKT3,AJ8,85,K9,QJ9875
393,6,A,A74,87653,AJ43,QT97,K63,T92,K92,K863,QJT852,AQ,7,J542,9,KJ4,QT865
394,5,AJ8753,K83,-,Q974,4,JT,KQT853,A863,T92,AQ954,A6,KT5,KQ6,762,J9742,J2
395,1,A9,K542,532,7432,86,J83,QT974,KT8,T32,AQ6,AK8,AQJ9,KQJ754,T97,J6,65
396,3,J7,Q752,QT8,Q542,854,A864,A9642,K,A,KT9,KJ73,JT963,KQT9632,J3,5,A87
397,8,KQ6,8754,A75,873,AJ942,2,KJ3,AT65,T7,KQJ63,62,J942,853,AT9,QT984,KQ
398,3,Q7,Q7,98632,A953,K8543,T942,A54,8,AJ96,AK86,QJ7,J2,T2,J53,KT,KQT764
399,2,K532,98,J9752,73,64,JT762,AQ83,J9,AQJ9,53,4,AKT854,T87,AKQ4,KT6,Q62
400,3,K943,T52,J853,97,JT72,A976,T74,K2,A,QJ83,AKQ,AQT63,Q865,K4,962,J854
401,10,T7,542,AKJ97,K83,AK4,KJ7,Q42,AJ75,965,A963,T63,QT6,QJ832,QT8,85,942
402,8,Q7,842,AKJ,AT864,AJ64,KQ97,8632,7,K95,T65,T54,J932,T832,AJ3,Q97,KQ5
403,3,QT943,KQ8,97,983,62,J9643,KQT4,K6,5,AT7,AJ65,AQJ52,AKJ87,52,832,T74
404,6,KJT,Q6,K953,9632,753,K9542,Q82,AQ,AQ8,AJ7,AT74,KJ4,9642,T83,J6,T875
405,9,Q,AK,T75432,KQJT,AKT8,JT95,-,A8652,942,6432,AQJ9,93,J7653,Q87,K86,74
406,6,J9872,4,J97,Q852,A65,J9863,Q,AKT6,KQ3,K,AKT6432,74,T4,AQT752,85,J93
407,8,Q84,J6,AT932,A42,KJ72,A9843,J8,K3,AT96,K52,K75,T85,53,QT7,Q64,QJ976
408,4,Q964,J964,T82,T6,75,AKT,KJ753,542,AK8,Q32,Q64,AJ93,JT32,875,A9,KQ87
409,10,A8,T743,AQ852,AQ,KQ,J65,KT6,KT832,76432,2,743,J765,JT95,AKQ98,J9,94
410,9,Q862,9,AT82,J865,A93,KJ87,K3,KQ94,J54,543,9654,A72,KT7,AQT62,QJ7,T3
411,3,4,AJ873,97542,Q6,J9,K942,KJT3,A52,AKT876,5,Q86,T87,Q532,QT6,A,KJ943
412,6,J642,86,QJ7,KJ94,Q9,AJ953,A964,T3,AK875,KQ7,K5,Q72,T3,T42,T832,A865
413,7,AQ43,KT98,7,KQ94,T986,6,T965,A853,KJ2,J54,KQ83,762,75,AQ732,AJ42,JT
414,8,A873,QT6,A,KJ875,J654,AJ943,T62,Q,QT2,872,KJ954,A3,K9,K5,Q873,T9642
415,9,A4,AK98,A6,QJT74,Q76,JT74,QT952,3,JT8,Q3,K874,AK96,K9532,652,J3,852
416,8,QT974,T9,875,QJ8,A5,AKJ8543,A63,T,J863,7,KT94,K632,K2,Q62,QJ2,A9754
417,11,KJT7,A43,AJ,K863,A,KJ97,T875,AJ75,9853,T2,643,T942,Q642,Q865,KQ92,Q
418,3,2,Q8,T8642,A8762,Q986,A9432,K975,-,KT753,JT,AJ3,KT9,AJ4,K765,Q,QJ543
419,6,93,AQ6,A62,AJ876,KJT76,973,J3,432,A542,KJT52,T97,T,Q8,84,KQ854,KQ95
420,5,Q4,QJ94,87,QT754,AK8,T76,KT5432,3,J76532,K82,AQ,A2,T9,A53,J96,KJ986
421,9,KQJ,K85,JT96,AT7,AT6,QT93,A83,QJ9,72,AJ62,KQ7,8632,98543,74,542,K54
422,2,AT9,98753,T974,K,8654,K42,A83,T63,KJ2,AJT6,QJ,J975,Q73,Q,K652,AQ842
423,2,J9,KQ42,T,985432,2,J87,J8753,KQJ6,T8543,A5,AQ96,T7,AKQ76,T963,K42,A
424,0,93,9654,Q953,QT9,K2,T,AK842,K6542,AQT7654,K2,T6,87,J8,AQJ873,J7,AJ3
425,4,3,K8432,T963,QJ2,KT86,6,A5,KT9543,AQJ52,A97,KJ42,6,974,QJT5,Q87,A87
426,11,KJ82,7654,A,Q752,A974,KQJ,KJ3,AT6,T3,AT3,T9754,KJ4,Q65,982,Q862,983
427,9,73,QJ432,AKJ8,Q9,Q64,AT9,94,AT862,JT9852,K7,QT7,K7,AK,865,6532,J543
428,1,T94,KQJ973,3,KQ9,J63,T5,Q,AJT7643,AQ,A84,KJT964,52,K8752,62,A8752,8
429,5,AKT63,AK8,J853,2,QJ75,975432,9,75,94,T6,KQT2,A9864,82,QJ,A764,KQJT3
430,0,T3,95,7532,AKT86,842,Q83,QJ84,Q93,KQJ75,AJT742,K9,-,A96,K6,AT6,J7542
431,9,J42,AQJT3,3,J986,Q98,654,Q92,AKT5,AKT7,K82,J854,73,653,97,AKT76,Q42
432,6,KQ6,J,A762,KJ862,T2,T765,KQ,AQ543,J73,AK9832,T984,-,A9854,Q4,J53,T97
433,6,JT42,K,QT93,9732,Q6,AT2,AK82,QJT5,A9853,Q8753,5,A8,K7,J964,J764,K64
434,6,642,A643,Q92,Q42,T3,QT2,AKJ83,JT3,AQJ7,87,T74,A875,K985,KJ95,65,K96
435,11,Q32,J5432,64,KQ2,AKJ8,AKQ,AJ52,JT,9764,9876,K8,943,T5,T,QT973,A8765
436,5,AT962,K54,T74,98,8,876,AQ982,K753,43,QJT93,K,AQ642,KQJ75,A2,J653,JT
437,5,A,AJT95,T6,AQT93,QT8654,6,J52,852,J92,K42,843,J764,K73,Q873,AKQ97,K
438,10,AQ8763,KQ85,8,AJ,K9,JT2,AQJ6,T762,J2,9643,7542,985,T54,A7,KT93,KQ43
439,7,J63,JT96,K9,A765,K5,A53,AJ82,Q932,T94,K842,643,KJT,AQ872,Q7,QT75,84
440,7,J9752,QT,AT95,A6,AQ,832,KQ62,T932,83,AJ97,J3,KQ754,KT64,K654,874,J8
441,0,T985,985,K4,T962,J72,643,T8732,53,KQ63,AT,AQJ5,J87,A4,KQJ72,96,AKQ4
442,6,98752,K,Q73,AJ96,AKQ3,J8,J4,KQT73,JT64,QT742,T86,5,-,A9653,AK952,842
443,7,AK92,J743,8,JT64,T8643,AT,AQT7,53,-,Q9865,96543,AK7,QJ75,K2,KJ2,Q982
444,1,K953,J74,JT86,86,JT62,KQ85,K9542,-,AQ87,AT932,A7,K7,4,6,Q3,AQJT95432
445,8,KJ86,KQ9,T3,JT76,-,A83,AQJ642,K542,A9742,652,K95,Q8,QT53,JT74,87,A93
446,2,J65,94,QJ9863,K6,843,T85,52,A9432,K7,AKQ7,AKT74,85,AQT92,J632,-,QJT7
447,4,A97,JT,T53,AQ864,T653,K43,Q76,T32,84,Q98762,KJ4,K5,KQJ2,A5,A982,J97
448,7,J8653,92,AKT8,A8,974,AJT5,Q6,Q432,QT,Q76,J95,KJ965,AK2,K843,7432,T7
449,3,Q98762,3,AT98,A3,T43,QT4,63,QT865,K,KJ95,KJ742,742,AJ5,A8762,Q5,KJ9
450,9,AKJT52,A2,T752,A,Q987,K,Q8,QJT764,-,Q8743,AKJ3,K953,643,JT965,964,82
451,10,KJ6,K3,AJ4,AKQ75,A92,T97,KQT752,T,T84,J64,98,J9432,Q753,AQ852,63,86
452,6,AKT9,KJ8753,T,K7,43,A942,J3,QJ854,87652,T,KQ54,T92,QJ,Q6,A98762,A63
453,4,53,A42,K83,98653,QJT8,K76,JT5,QJT,K96,98,A962,A742,A742,QJT53,Q74,K
454,3,J962,AQT763,4,K4,Q43,J98,Q,QJ9763,T,54,J98732,A852,AK875,K2,AKT65,T
455,6,QJ,AJT9864,32,T3,K74,K53,A764,652,T9865,Q72,KT9,K9,A32,-,QJ85,AQJ874
456,5,T832,AK2,Q82,953,-,J985,T965,AK742,AKJ74,743,KJ3,J6,Q965,QT6,A74,QT8
457,7,Q87,QJ873,962,A5,K,AK96,QJ843,843,AT943,T2,K,KQJ92,J652,54,AT75,T76
458,6,AJ6,AJT4,K94,J87,K9432,Q5,J75,Q94,QT75,983,62,KT62,8,K762,AQT83,A53
